Status,Checking,Duration,History,Purpose,Amount,Savings,Employment,PerCentIncome,PersonalStatus,Debtors,ResidentYears,Property,Age,Plans,Housing,Credits,Job,Liability,Telephone,Foreign
2,lt0,24,PAIDBACKtoCREDIT,BUSINESS,3161,lt100,4,4,MALEtoMARRIEDorWIDOWED,NONE,2,SAVINGStoLIFEtoINSURANCE,31,NONE,RENT,1,SKILLEDtoEMPLOYEE,1,YES,YES
2,lt0,24,PAIDBACKtoCREDITtoOUTSTANDING,CARtoNEW,915,UNKNOWN,8,4,FEMALEtoDIVORCEDtoMARRIED,NONE,2,CARtoOTHER,29,BANK,OWN,1,SKILLEDtoEMPLOYEE,1,NONE,YES
2,lt0,14,PAIDBACKtoCREDITtoOUTSTANDING,CARtoNEW,8978,lt100,8,1,MALEtoDIVORCED,NONE,4,SAVINGStoLIFEtoINSURANCE,45,NONE,OWN,1,MANAGEMENTtoSELFEMPLOYED,1,YES,NO
2,lt0,24,PAIDBACKtoCREDITtoOUTSTANDING,CARtoNEW,1381,UNKNOWN,4,4,FEMALEtoDIVORCEDtoMARRIED,NONE,2,SAVINGStoLIFEtoINSURANCE,35,NONE,OWN,1,SKILLEDtoEMPLOYEE,1,NONE,YES
2,lt0,12,PAIDBACKtoCREDITtoOUTSTANDING,CARtoNEW,2579,lt100,1,4,MALEtoMARRIEDorWIDOWED,NONE,1,REALtoESTATE,33,NONE,OWN,1,UNSKILLEDtoRESIDENT,2,NONE,YES
2,lt0,36,PAIDBACKtoCREDITtoOUTSTANDING,CARtoNEW,1842,lt100,1,4,FEMALEtoDIVORCEDtoMARRIED,NONE,4,CARtoOTHER,34,NONE,OWN,1,SKILLEDtoEMPLOYEE,1,YES,YES
2,lt0,24,PAIDBACKtoCREDITtoOUTSTANDING,CARtoNEW,4817,lt100,7,2,MALEtoMARRIEDorWIDOWED,COtoAPPLICANT,3,SAVINGStoLIFEtoINSURANCE,31,NONE,OWN,1,SKILLEDtoEMPLOYEE,1,YES,YES
2,lt0,9,PAIDBACKtoCREDITtoOUTSTANDING,CARtoNEW,654,lt100,4,4,MALEtoMARRIEDorWIDOWED,NONE,3,CARtoOTHER,28,NONE,OWN,1,UNSKILLEDtoRESIDENT,1,NONE,YES
2,lt0,24,PAIDBACKtoCREDITtoOUTSTANDING,CARtoNEW,3123,lt100,1,4,FEMALEtoDIVORCEDtoMARRIED,NONE,1,SAVINGStoLIFEtoINSURANCE,27,NONE,OWN,1,SKILLEDtoEMPLOYEE,1,NONE,YES
2,lt0,24,PAIDBACKtoCREDITtoOUTSTANDING,CARtoNEW,1207,lt100,1,4,FEMALEtoDIVORCEDtoMARRIED,NONE,4,SAVINGStoLIFEtoINSURANCE,24,NONE,RENT,1,SKILLEDtoEMPLOYEE,1,NONE,YES
2,lt0,12,PAIDBACKtoCREDITtoOUTSTANDING,CARtoNEW,759,lt100,7,4,MALEtoMARRIEDorWIDOWED,NONE,2,REALtoESTATE,26,NONE,OWN,1,SKILLEDtoEMPLOYEE,1,NONE,YES
2,lt0,48,PAIDBACKtoCREDITtoOUTSTANDING,CARtoNEW,7763,lt100,8,4,MALEtoMARRIEDorWIDOWED,NONE,4,UNKNOWN,42,BANK,FREE,1,MANAGEMENTtoSELFEMPLOYED,1,NONE,YES
2,lt0,12,PAIDBACKtoCREDITtoOUTSTANDING,CARtoNEW,1372,lt100,7,2,MALEtoDIVORCED,NONE,3,CARtoOTHER,36,NONE,OWN,1,SKILLEDtoEMPLOYEE,1,NONE,YES
2,lt0,24,PAIDBACKtoCREDITtoOUTSTANDING,CARtoNEW,1442,lt100,7,4,FEMALEtoDIVORCEDtoMARRIED,NONE,4,CARtoOTHER,23,NONE,RENT,2,SKILLEDtoEMPLOYEE,1,NONE,YES
2,lt0,24,PAIDBACKtoCREDITtoOUTSTANDING,CARtoNEW,2303,lt100,8,4,MALEtoMARRIEDorWIDOWED,COtoAPPLICANT,1,REALtoESTATE,45,NONE,OWN,1,SKILLEDtoEMPLOYEE,1,NONE,YES
2,lt0,12,PAIDBACKtoCREDITtoOUTSTANDING,CARtoNEW,900,UNKNOWN,4,4,MALEtoMARRIEDtoWIDOWED,NONE,2,CARtoOTHER,23,NONE,OWN,1,SKILLEDtoEMPLOYEE,1,NONE,YES
2,lt0,12,PAIDBACKtoCREDITtoOUTSTANDING,CARtoNEW,1228,lt100,4,4,FEMALEtoDIVORCEDtoMARRIED,NONE,2,REALtoESTATE,24,NONE,OWN,1,UNSKILLEDtoRESIDENT,1,NONE,YES
2,lt0,12,PAIDBACKtoCREDITtoOUTSTANDING,CARtoNEW,1274,lt100,1,3,FEMALEtoDIVORCEDtoMARRIED,NONE,1,REALtoESTATE,37,NONE,OWN,1,UNSKILLEDtoRESIDENT,1,NONE,YES
2,lt0,18,PAIDBACKtoCREDITtoOUTSTANDING,CARtoNEW,976,lt100,1,1,FEMALEtoDIVORCEDtoMARRIED,NONE,2,CARtoOTHER,23,NONE,OWN,1,UNSKILLEDtoRESIDENT,1,NONE,YES
2,lt0,24,PAIDBACKtoCREDITtoOUTSTANDING,CARtoNEW,1285,UNKNOWN,7,4,FEMALEtoDIVORCEDtoMARRIED,NONE,4,UNKNOWN,32,NONE,RENT,1,SKILLEDtoEMPLOYEE,1,NONE,YES
2,lt0,24,PAIDBACKtoCREDITtoOUTSTANDING,CARtoNEW,1371,UNKNOWN,4,4,FEMALEtoDIVORCEDtoMARRIED,NONE,4,REALtoESTATE,25,NONE,RENT,1,SKILLEDtoEMPLOYEE,1,NONE,YES
2,lt0,36,PAIDBACKtoCREDITtoOUTSTANDING,CARtoNEW,9271,lt100,7,2,MALEtoMARRIEDorWIDOWED,NONE,1,CARtoOTHER,24,NONE,OWN,1,SKILLEDtoEMPLOYEE,1,YES,YES
2,lt0,48,PAIDBACKtoCREDITtoOUTSTANDING,CARtoNEW,3931,lt100,7,4,MALEtoMARRIEDorWIDOWED,NONE,4,UNKNOWN,46,NONE,FREE,1,SKILLEDtoEMPLOYEE,2,NONE,YES
2,lt0,18,PAIDBACKtoCREDITtoOUTSTANDING,CARtoNEW,1216,lt100,1,4,FEMALEtoDIVORCEDtoMARRIED,NONE,3,CARtoOTHER,23,NONE,RENT,1,SKILLEDtoEMPLOYEE,1,YES,YES
2,lt0,15,PAIDBACKtoCREDITtoOUTSTANDING,CARtoNEW,3959,lt100,4,3,FEMALEtoDIVORCEDtoMARRIED,NONE,2,SAVINGStoLIFEtoINSURANCE,29,NONE,OWN,1,SKILLEDtoEMPLOYEE,1,YES,YES
2,lt0,9,PAIDBACKtoCREDITtoOUTSTANDING,CARtoNEW,1422,lt100,1,3,MALEtoMARRIEDorWIDOWED,NONE,2,UNKNOWN,27,NONE,FREE,1,MANAGEMENTtoSELFEMPLOYED,1,YES,YES
2,lt0,6,PAIDBACKtoCREDITtoOUTSTANDING,CARtoNEW,14896,lt100,8,1,MALEtoMARRIEDorWIDOWED,NONE,4,UNKNOWN,68,BANK,OWN,1,MANAGEMENTtoSELFEMPLOYED,1,YES,YES
2,lt0,28,PAIDBACKtoCREDITtoOUTSTANDING,CARtoNEW,4006,lt100,4,3,MALEtoMARRIEDorWIDOWED,NONE,2,CARtoOTHER,45,NONE,OWN,1,UNSKILLEDtoRESIDENT,1,NONE,YES
2,lt0,12,PAIDBACKtoCREDITtoOUTSTANDING,CARtoUSED,3386,lt100,8,3,MALEtoMARRIEDorWIDOWED,NONE,4,UNKNOWN,35,NONE,FREE,1,SKILLEDtoEMPLOYEE,1,YES,YES
2,lt0,18,PAIDBACKtoCREDITtoOUTSTANDING,CARtoUSED,7511,UNKNOWN,8,1,MALEtoMARRIEDorWIDOWED,NONE,4,SAVINGStoLIFEtoINSURANCE,51,NONE,FREE,1,SKILLEDtoEMPLOYEE,2,YES,YES
2,lt0,36,PAIDBACKtoCREDITtoOUTSTANDING,CARtoUSED,8335,UNKNOWN,8,3,MALEtoMARRIEDorWIDOWED,NONE,4,UNKNOWN,47,NONE,FREE,1,SKILLEDtoEMPLOYEE,1,NONE,YES
2,lt0,48,PAIDBACKtoCREDITtoOUTSTANDING,CARtoUSED,10297,lt100,7,4,MALEtoMARRIEDorWIDOWED,NONE,4,UNKNOWN,39,STORES,FREE,3,SKILLEDtoEMPLOYEE,2,YES,YES
2,lt0,36,PAIDBACKtoCREDITtoOUTSTANDING,CARtoUSED,8229,lt100,4,2,MALEtoMARRIEDorWIDOWED,NONE,2,SAVINGStoLIFEtoINSURANCE,26,NONE,OWN,1,SKILLEDtoEMPLOYEE,2,NONE,YES
2,lt0,18,PAIDBACKtoCREDITtoOUTSTANDING,FURNITURE,2462,lt100,4,2,MALEtoMARRIEDorWIDOWED,NONE,2,CARtoOTHER,22,NONE,OWN,1,SKILLEDtoEMPLOYEE,1,NONE,YES
2,lt0,12,PAIDBACKtoCREDITtoOUTSTANDING,FURNITURE,1282,lt100,4,2,FEMALEtoDIVORCEDtoMARRIED,NONE,4,CARtoOTHER,20,NONE,RENT,1,SKILLEDtoEMPLOYEE,1,NONE,YES
2,lt0,18,PAIDBACKtoCREDITtoOUTSTANDING,FURNITURE,1131,lt100,0,4,FEMALEtoDIVORCEDtoMARRIED,NONE,2,CARtoOTHER,33,NONE,OWN,1,SKILLEDtoEMPLOYEE,1,NONE,YES
2,lt0,12,PAIDBACKtoCREDITtoOUTSTANDING,FURNITURE,7865,lt100,8,4,MALEtoMARRIEDorWIDOWED,NONE,4,UNKNOWN,53,NONE,FREE,1,MANAGEMENTtoSELFEMPLOYED,1,YES,YES
2,lt0,30,PAIDBACKtoCREDITtoOUTSTANDING,FURNITURE,2406,lt100,7,4,FEMALEtoDIVORCEDtoMARRIED,NONE,4,REALtoESTATE,23,NONE,RENT,1,SKILLEDtoEMPLOYEE,1,NONE,YES
2,lt0,18,PAIDBACKtoCREDITtoOUTSTANDING,FURNITURE,2473,lt100,0,4,MALEtoMARRIEDorWIDOWED,NONE,1,CARtoOTHER,25,NONE,OWN,1,UNSKILLEDtoNONtoRESIDENT,1,NONE,YES
2,lt0,36,PAIDBACKtoCREDITtoOUTSTANDING,FURNITURE,3446,lt100,8,4,MALEtoMARRIEDorWIDOWED,NONE,2,CARtoOTHER,42,NONE,OWN,1,SKILLEDtoEMPLOYEE,2,NONE,YES
2,lt0,24,PAIDBACKtoCREDITtoOUTSTANDING,FURNITURE,2996,UNKNOWN,4,2,MALEtoMARRIEDtoWIDOWED,NONE,4,CARtoOTHER,20,NONE,OWN,1,SKILLEDtoEMPLOYEE,1,NONE,YES
2,lt0,30,PAIDBACKtoCREDITtoOUTSTANDING,FURNITURE,6350,UNKNOWN,8,4,MALEtoMARRIEDorWIDOWED,NONE,4,SAVINGStoLIFEtoINSURANCE,31,NONE,OWN,1,SKILLEDtoEMPLOYEE,1,NONE,YES
2,lt0,24,PAIDBACKtoCREDITtoOUTSTANDING,FURNITURE,3234,lt100,1,4,FEMALEtoDIVORCEDtoMARRIED,NONE,4,REALtoESTATE,23,NONE,RENT,1,UNSKILLEDtoRESIDENT,1,YES,YES
2,lt0,18,PAIDBACKtoCREDITtoOUTSTANDING,FURNITURE,2039,lt100,4,1,FEMALEtoDIVORCEDtoMARRIED,NONE,4,REALtoESTATE,20,BANK,RENT,1,SKILLEDtoEMPLOYEE,1,NONE,YES
2,lt0,30,PAIDBACKtoCREDITtoOUTSTANDING,FURNITURE,3108,lt100,1,2,MALEtoDIVORCED,NONE,4,SAVINGStoLIFEtoINSURANCE,31,NONE,OWN,1,UNSKILLEDtoRESIDENT,1,NONE,YES
2,lt0,36,PAIDBACKtoCREDITtoOUTSTANDING,FURNITURE,2712,lt100,8,2,MALEtoMARRIEDorWIDOWED,NONE,2,SAVINGStoLIFEtoINSURANCE,41,BANK,OWN,1,SKILLEDtoEMPLOYEE,2,NONE,YES
2,lt0,36,PAIDBACKtoCREDITtoOUTSTANDING,FURNITURE,5179,lt100,7,4,MALEtoMARRIEDorWIDOWED,NONE,2,SAVINGStoLIFEtoINSURANCE,29,NONE,OWN,1,SKILLEDtoEMPLOYEE,1,NONE,YES
2,lt0,18,PAIDBACKtoCREDITtoOUTSTANDING,FURNITURE,4153,lt100,4,2,MALEtoMARRIEDorWIDOWED,COtoAPPLICANT,3,CARtoOTHER,42,NONE,OWN,1,SKILLEDtoEMPLOYEE,1,NONE,YES
2,lt0,24,PAIDBACKtoCREDITtoOUTSTANDING,FURNITURE,2359,100to500,0,1,MALEtoDIVORCED,NONE,1,SAVINGStoLIFEtoINSURANCE,33,NONE,OWN,1,SKILLEDtoEMPLOYEE,1,NONE,YES
2,lt0,24,PAIDBACKtoCREDITtoOUTSTANDING,FURNITURE,3345,lt100,8,4,MALEtoMARRIEDorWIDOWED,NONE,2,SAVINGStoLIFEtoINSURANCE,39,NONE,RENT,1,MANAGEMENTtoSELFEMPLOYED,1,YES,YES
2,lt0,24,PAIDBACKtoCREDITtoOUTSTANDING,HIFI,1282,100to500,4,4,FEMALEtoDIVORCEDtoMARRIED,NONE,2,CARtoOTHER,32,NONE,OWN,1,UNSKILLEDtoRESIDENT,1,NONE,YES
2,lt0,42,PAIDBACKtoCREDITtoOUTSTANDING,HIFI,3965,lt100,1,4,MALEtoMARRIEDorWIDOWED,NONE,3,CARtoOTHER,34,NONE,OWN,1,SKILLEDtoEMPLOYEE,1,NONE,YES
2,lt0,42,PAIDBACKtoCREDITtoOUTSTANDING,HIFI,7174,UNKNOWN,7,4,FEMALEtoDIVORCEDtoMARRIED,NONE,3,CARtoOTHER,30,NONE,OWN,1,MANAGEMENTtoSELFEMPLOYED,1,YES,YES
2,lt0,21,PAIDBACKtoCREDITtoOUTSTANDING,HIFI,1835,lt100,4,3,FEMALEtoDIVORCEDtoMARRIED,NONE,2,REALtoESTATE,25,NONE,OWN,2,SKILLEDtoEMPLOYEE,1,YES,YES
2,lt0,12,PAIDBACKtoCREDITtoOUTSTANDING,HIFI,674,100to500,7,4,MALEtoMARRIEDtoWIDOWED,NONE,1,SAVINGStoLIFEtoINSURANCE,20,NONE,OWN,1,SKILLEDtoEMPLOYEE,1,NONE,YES
2,lt0,24,PAIDBACKtoCREDITtoOUTSTANDING,HIFI,1823,lt100,0,4,MALEtoMARRIEDorWIDOWED,NONE,2,CARtoOTHER,30,STORES,OWN,1,MANAGEMENTtoSELFEMPLOYED,2,NONE,YES
2,lt0,12,PAIDBACKtoCREDITtoOUTSTANDING,HIFI,727,100to500,1,4,MALEtoMARRIEDtoWIDOWED,NONE,3,UNKNOWN,33,NONE,OWN,1,UNSKILLEDtoRESIDENT,1,YES,YES
2,lt0,24,PAIDBACKtoCREDITtoOUTSTANDING,HIFI,1938,lt100,1,4,MALEtoDIVORCED,NONE,3,SAVINGStoLIFEtoINSURANCE,32,NONE,OWN,1,SKILLEDtoEMPLOYEE,1,NONE,YES
2,lt0,18,PAIDBACKtoCREDITtoOUTSTANDING,HIFI,3190,lt100,4,2,FEMALEtoDIVORCEDtoMARRIED,NONE,2,REALtoESTATE,24,NONE,OWN,1,SKILLEDtoEMPLOYEE,1,NONE,YES
2,lt0,36,PAIDBACKtoCREDITtoOUTSTANDING,HIFI,2302,lt100,4,4,MALEtoDIVORCED,NONE,4,CARtoOTHER,31,NONE,RENT,1,SKILLEDtoEMPLOYEE,1,NONE,YES
2,lt0,48,PAIDBACKtoCREDITtoOUTSTANDING,HIFI,6999,lt100,7,1,MALEtoMARRIEDtoWIDOWED,GUARANTOR,1,REALtoESTATE,34,NONE,OWN,2,SKILLEDtoEMPLOYEE,1,YES,YES
2,lt0,48,PAIDBACKtoCREDITtoOUTSTANDING,HIFI,6758,lt100,4,3,FEMALEtoDIVORCEDtoMARRIED,NONE,2,CARtoOTHER,31,NONE,OWN,1,SKILLEDtoEMPLOYEE,1,YES,YES
2,lt0,18,PAIDBACKtoCREDITtoOUTSTANDING,HIFI,2600,lt100,4,4,MALEtoMARRIEDorWIDOWED,NONE,4,UNKNOWN,65,NONE,FREE,2,SKILLEDtoEMPLOYEE,1,NONE,YES
2,lt0,18,PAIDBACKtoCREDITtoOUTSTANDING,HIFI,1882,lt100,4,4,FEMALEtoDIVORCEDtoMARRIED,NONE,4,CARtoOTHER,25,BANK,RENT,2,SKILLEDtoEMPLOYEE,1,NONE,YES
2,lt0,24,PAIDBACKtoCREDITtoOUTSTANDING,HIFI,1987,lt100,4,2,MALEtoMARRIEDorWIDOWED,NONE,4,REALtoESTATE,21,NONE,RENT,1,UNSKILLEDtoRESIDENT,2,NONE,YES
2,lt0,18,PAIDBACKtoCREDITtoOUTSTANDING,HIFI,1345,lt100,4,4,MALEtoMARRIEDtoWIDOWED,NONE,3,REALtoESTATE,26,BANK,OWN,1,SKILLEDtoEMPLOYEE,1,NONE,YES
2,lt0,12,PAIDBACKtoCREDITtoOUTSTANDING,HIFI,709,lt100,8,4,MALEtoMARRIEDorWIDOWED,NONE,4,REALtoESTATE,57,STORES,OWN,1,UNSKILLEDtoRESIDENT,1,NONE,YES
2,lt0,24,PAIDBACKtoCREDITtoOUTSTANDING,HIFI,2439,lt100,1,4,FEMALEtoDIVORCEDtoMARRIED,NONE,4,REALtoESTATE,35,NONE,OWN,1,SKILLEDtoEMPLOYEE,1,YES,YES
2,lt0,9,PAIDBACKtoCREDITtoOUTSTANDING,HIFI,1366,lt100,1,3,FEMALEtoDIVORCEDtoMARRIED,NONE,4,SAVINGStoLIFEtoINSURANCE,22,NONE,RENT,1,SKILLEDtoEMPLOYEE,1,NONE,YES
2,lt0,45,PAIDBACKtoCREDITtoOUTSTANDING,HIFI,1845,lt100,4,4,MALEtoMARRIEDorWIDOWED,NONE,4,UNKNOWN,23,NONE,FREE,1,SKILLEDtoEMPLOYEE,1,YES,YES
2,lt0,15,PAIDBACKtoCREDITtoOUTSTANDING,APPLIANCE,1275,UNKNOWN,4,4,FEMALEtoDIVORCEDtoMARRIED,NONE,2,CARtoOTHER,24,NONE,RENT,1,SKILLEDtoEMPLOYEE,1,NONE,YES
2,lt0,18,PAIDBACKtoCREDITtoOUTSTANDING,APPLIANCE,1217,lt100,4,4,MALEtoMARRIEDtoWIDOWED,NONE,3,REALtoESTATE,47,NONE,OWN,1,UNSKILLEDtoRESIDENT,1,YES,YES
2,lt0,12,PAIDBACKtoCREDITtoOUTSTANDING,APPLIANCE,741,100to500,0,4,FEMALEtoDIVORCEDtoMARRIED,NONE,3,SAVINGStoLIFEtoINSURANCE,22,NONE,OWN,1,SKILLEDtoEMPLOYEE,1,NONE,YES
2,lt0,48,PAIDBACKtoCREDITtoOUTSTANDING,APPLIANCE,3051,lt100,4,3,MALEtoMARRIEDorWIDOWED,NONE,4,CARtoOTHER,54,NONE,OWN,1,SKILLEDtoEMPLOYEE,1,NONE,YES
2,lt0,30,PAIDBACKtoCREDITtoOUTSTANDING,REPAIRS,11998,lt100,1,1,MALEtoDIVORCED,NONE,1,UNKNOWN,34,NONE,OWN,1,UNSKILLEDtoRESIDENT,1,YES,YES
2,lt0,36,PAIDBACKtoCREDITtoOUTSTANDING,EDUCATION,1977,UNKNOWN,8,4,MALEtoMARRIEDorWIDOWED,NONE,4,UNKNOWN,40,NONE,OWN,1,MANAGEMENTtoSELFEMPLOYED,1,YES,YES
2,lt0,6,PAIDBACKtoCREDITtoOUTSTANDING,EDUCATION,448,lt100,1,4,FEMALEtoDIVORCEDtoMARRIED,NONE,4,SAVINGStoLIFEtoINSURANCE,23,NONE,OWN,1,SKILLEDtoEMPLOYEE,1,NONE,YES
2,lt0,18,PAIDBACKtoCREDITtoOUTSTANDING,EDUCATION,750,lt100,0,4,FEMALEtoDIVORCEDtoMARRIED,NONE,1,REALtoESTATE,27,NONE,OWN,1,UNSKILLEDtoNONtoRESIDENT,1,NONE,YES
2,lt0,12,PAIDBACKtoCREDITtoOUTSTANDING,EDUCATION,684,lt100,4,4,MALEtoMARRIEDorWIDOWED,NONE,4,CARtoOTHER,40,NONE,RENT,1,UNSKILLEDtoRESIDENT,2,NONE,YES
2,lt0,12,PAIDBACKtoCREDITtoOUTSTANDING,EDUCATION,795,lt100,1,4,FEMALEtoDIVORCEDtoMARRIED,NONE,4,SAVINGStoLIFEtoINSURANCE,53,NONE,OWN,1,SKILLEDtoEMPLOYEE,1,NONE,YES
2,lt0,12,PAIDBACKtoCREDITtoOUTSTANDING,RETRAINING,902,lt100,7,4,MALEtoMARRIEDtoWIDOWED,NONE,4,SAVINGStoLIFEtoINSURANCE,21,NONE,RENT,1,SKILLEDtoEMPLOYEE,1,NONE,YES
2,lt0,48,PAIDBACKtoCREDITtoOUTSTANDING,BUSINESS,4308,lt100,1,3,FEMALEtoDIVORCEDtoMARRIED,NONE,4,SAVINGStoLIFEtoINSURANCE,24,NONE,RENT,1,SKILLEDtoEMPLOYEE,1,NONE,YES
2,lt0,60,PAIDBACKtoCREDITtoOUTSTANDING,BUSINESS,7297,lt100,8,4,MALEtoMARRIEDorWIDOWED,COtoAPPLICANT,4,UNKNOWN,36,NONE,RENT,1,SKILLEDtoEMPLOYEE,1,NONE,YES
2,lt0,24,DELAYEDtoPAYBACKtoCREDIT,CARtoNEW,4870,lt100,4,3,MALEtoMARRIEDorWIDOWED,NONE,4,UNKNOWN,53,NONE,FREE,2,SKILLEDtoEMPLOYEE,2,NONE,YES
2,lt0,24,DELAYEDtoPAYBACKtoCREDIT,CARtoNEW,1333,lt100,0,4,MALEtoMARRIEDorWIDOWED,NONE,2,REALtoESTATE,43,NONE,FREE,2,SKILLEDtoEMPLOYEE,2,NONE,YES
2,lt0,24,DELAYEDtoPAYBACKtoCREDIT,HIFI,1024,lt100,1,4,MALEtoMARRIEDtoWIDOWED,NONE,4,REALtoESTATE,48,STORES,OWN,1,SKILLEDtoEMPLOYEE,1,NONE,YES
