gender,age,numkids,type,memberyears,avg_yrly_visits,offer_fd_penguin,offer_fd_meercat,offer_fd_flamingo,offer_fd_tiger,offer_fd_gecko,offer_sp_penguin,offer_sp_meercat,offer_sp_flamingo,offer_sp_tiger,offer_sp_gecko,support_calls_last_year,churned
F,68,0,I,1,2,N,N,N,N,N,N,N,N,N,N,0,N
M,22,0,R,6,8.2,N,Y,N,N,N,N,Y,N,N,N,2,N
M,23,0,R,2,5.4,N,N,Y,N,N,N,N,N,N,N,0,N
F,19,0,S,1,5,N,N,N,N,N,N,N,N,N,N,2,N
M,43,0,I,2,4.5,N,N,N,N,N,N,N,N,N,N,0,N
M,26,1,F,5,4,N,N,N,N,N,N,N,N,N,N,1,N
F,18,0,R,8,8.6,Y,Y,N,N,N,Y,Y,N,N,N,1,N
F,20,0,S,2,5.3,Y,N,N,N,N,N,Y,N,N,N,3,N
F,34,1,F,5,4.9,N,N,N,N,N,N,N,N,N,N,3,N
M,20,0,R,6,6.4,N,N,N,N,N,N,N,N,N,N,1,N
F,38,3,F,3,0.8,N,N,N,N,N,Y,Y,N,N,N,1,N
F,41,5,F,3,1.6,N,N,N,N,N,N,N,N,N,N,2,N
F,50,2,F,5,3.6,N,Y,N,N,N,Y,Y,N,N,N,2,N
F,22,0,R,5,3.7,Y,Y,N,N,N,N,Y,N,N,N,0,N
F,38,1,F,6,1.1,N,N,N,N,N,N,N,N,N,N,3,N
M,56,3,F,3,6.1,N,Y,N,N,N,N,N,N,N,N,1,N
F,18,4,F,2,1.4,Y,Y,N,N,N,N,N,N,N,N,2,N
M,30,6,F,5,6.5,Y,N,N,N,N,N,N,N,N,N,1,N
F,24,3,F,5,5,N,N,N,N,N,N,Y,N,N,N,1,N
M,18,2,F,3,4.3,Y,Y,N,N,N,N,N,N,N,N,2,N
F,30,2,F,3,4.5,N,N,N,N,N,N,N,N,N,N,3,N
F,21,0,R,7,5.3,N,N,N,N,N,N,N,N,N,N,3,N
F,50,3,F,10,2,N,N,N,N,N,N,N,Y,N,N,0,N
M,25,5,F,4,4.2,N,Y,N,N,N,N,Y,N,N,N,0,N
M,22,0,R,5,4.5,Y,N,N,N,N,N,N,N,N,N,0,N
M,40,4,F,3,5.7,Y,N,N,N,N,N,N,N,N,N,1,N
F,32,2,F,2,2.4,Y,Y,N,N,N,N,Y,N,N,N,1,N
M,21,0,S,3,5.9,N,N,N,N,N,N,N,N,N,N,1,N
F,39,2,F,4,5.3,Y,N,N,N,N,N,N,N,N,N,2,N
F,31,0,I,1,2,N,N,Y,N,N,N,N,Y,N,N,0,N
F,19,0,I,3,6.3,N,N,N,Y,N,N,N,N,N,N,2,N
F,44,2,F,4,2.2,N,Y,N,N,N,N,N,N,N,N,1,N
M,29,3,F,3,3.6,N,N,N,N,N,N,N,N,N,N,2,N
F,33,3,F,6,1.8,N,Y,N,N,N,N,N,N,N,N,2,N
M,56,3,F,8,3.3,N,N,N,Y,N,N,N,N,N,N,2,N
M,50,2,F,2,1.3,Y,N,N,N,N,N,N,N,N,N,1,N
M,38,1,F,5,0.9,Y,N,N,Y,N,N,N,N,N,N,2,N
F,37,1,F,1,8,N,N,N,N,N,N,N,N,N,N,1,N
M,35,2,F,1,6,N,Y,N,N,N,N,N,N,N,N,2,N
M,42,5,F,7,1.5,N,N,N,N,N,N,N,N,N,N,3,N
F,58,1,F,4,1.3,Y,Y,N,N,N,N,N,N,N,N,0,N
F,41,3,F,4,4.1,Y,Y,N,N,N,N,N,N,N,N,2,N
M,33,0,I,3,2.7,N,Y,N,Y,N,N,N,N,N,N,3,N
M,27,1,F,5,2.3,N,N,N,N,N,N,N,N,Y,N,1,N
M,56,2,F,5,3.6,Y,Y,N,N,N,Y,N,N,N,N,0,N
F,24,3,F,1,2,N,N,N,N,N,N,N,N,N,N,3,N
F,36,2,F,4,11.3,Y,N,N,N,N,N,N,N,N,N,2,N
M,20,0,S,2,8.6,Y,N,N,Y,N,N,N,N,N,N,1,N
M,39,3,F,1,3,N,N,N,Y,N,N,N,N,N,N,1,N
M,44,2,F,2,8.3,Y,N,N,N,N,Y,N,N,N,N,0,N
F,32,0,I,1,1,Y,Y,N,N,N,Y,N,N,N,N,2,N
F,49,0,I,1,5,Y,Y,N,N,N,N,N,N,N,N,2,N
F,38,3,F,5,1.5,Y,Y,N,N,N,N,N,N,N,N,1,N
F,35,1,F,2,2.5,N,N,N,N,N,Y,N,N,N,N,1,N
F,26,1,F,5,4.5,N,N,N,N,N,N,N,N,N,N,0,N
F,25,3,F,3,13,N,N,N,N,N,N,N,N,N,N,2,N
M,28,0,I,1,3,N,N,N,N,N,N,N,N,N,N,0,N
F,28,3,F,1,5,N,Y,N,Y,N,N,Y,N,N,N,2,N
M,21,0,R,6,5.3,N,Y,N,N,N,N,N,N,N,N,3,N
F,42,4,F,4,1.2,Y,N,N,N,N,N,N,N,N,N,2,N
M,24,3,F,1,5,N,N,N,N,N,N,N,N,N,N,2,N
F,19,3,F,1,6,N,N,N,N,N,N,N,N,N,N,2,N
M,45,3,F,2,2.1,N,N,N,N,N,N,N,N,N,N,1,N
M,18,3,F,5,3,N,N,N,N,N,N,N,N,Y,N,0,N
M,18,6,F,1,2,Y,N,N,N,N,N,N,N,N,N,1,N
F,79,0,I,1,3,N,N,N,N,N,N,N,N,N,N,2,N
M,74,1,F,7,1,N,N,N,N,N,N,N,N,N,N,2,N
F,37,6,F,6,6.9,Y,Y,Y,Y,N,N,N,N,Y,N,1,N
M,22,0,S,1,6,Y,Y,N,N,N,N,N,N,N,N,2,N
M,57,4,F,8,1.1,N,N,N,N,N,N,N,N,N,N,2,N
F,22,0,S,2,8.4,N,N,Y,N,N,N,N,N,N,N,2,N
M,58,0,I,1,2,N,N,N,N,N,N,N,N,N,N,0,N
F,21,0,R,7,3.9,N,N,N,N,N,N,N,N,N,N,2,N
F,21,0,S,2,10.8,N,N,N,N,N,N,N,N,N,N,0,N
M,38,5,F,12,4.7,N,N,N,N,N,N,N,N,N,N,1,N
M,24,0,R,5,8.9,N,N,N,N,N,N,N,N,N,N,2,N
M,49,4,F,1,2,N,N,N,N,N,N,N,N,N,N,1,N
F,46,1,F,5,1.1,Y,Y,N,Y,N,Y,N,N,N,N,1,N
M,40,4,F,3,7.9,N,Y,N,N,N,N,N,N,N,N,2,N
M,48,0,I,2,4,N,Y,N,N,N,N,N,N,N,N,1,N
M,65,0,I,1,3,Y,N,N,N,N,N,N,N,N,N,3,N
F,46,4,F,8,2.5,N,N,N,Y,N,N,N,Y,N,N,2,N
F,18,5,F,2,2.6,Y,Y,N,N,N,N,N,N,N,N,1,N
M,28,1,F,1,8,N,N,N,N,N,N,Y,N,N,N,2,N
M,48,4,F,4,1.2,Y,N,Y,N,N,N,N,N,N,N,3,N
M,26,5,F,5,7.1,Y,N,N,N,N,N,N,N,Y,N,4,N
M,31,3,F,2,1.4,N,Y,Y,N,N,N,N,N,N,N,2,N
F,29,2,F,4,2,Y,N,N,N,N,N,N,N,N,N,0,N
M,39,2,F,2,1.2,Y,Y,N,N,N,N,N,N,N,N,2,N
M,20,0,S,3,6.9,Y,Y,N,N,N,N,Y,N,N,N,1,N
F,27,5,F,3,6,N,N,N,N,N,N,Y,Y,Y,N,1,N
M,27,1,F,1,7,Y,N,N,N,N,N,N,N,N,N,2,N
F,31,5,F,5,3.6,Y,Y,N,N,N,Y,N,N,N,N,0,N
M,30,4,F,5,1.6,N,N,N,N,N,N,N,N,N,N,1,N
F,37,3,F,3,6.4,N,Y,N,N,N,N,N,N,N,N,2,N
F,24,2,F,3,9.9,Y,Y,N,N,N,N,N,N,N,N,1,N
F,20,3,F,7,5.6,Y,Y,N,N,N,N,N,N,N,N,2,N
F,31,3,F,1,5,Y,N,N,N,N,N,N,N,N,N,1,N
M,25,4,F,6,9.8,Y,Y,N,N,N,N,N,N,Y,N,2,N
F,24,0,S,2,6.2,N,N,N,N,N,N,N,N,Y,N,3,N
M,38,2,F,5,0.7,Y,Y,Y,N,N,Y,Y,N,N,N,2,N
M,30,1,F,4,5.6,Y,Y,N,N,N,N,N,N,N,N,0,N
F,42,0,I,1,2,N,Y,N,N,N,N,N,N,N,N,2,N
F,40,6,F,2,4.9,N,N,N,N,N,N,N,N,N,N,1,N
F,18,1,F,2,7.9,N,N,N,N,N,N,N,N,N,N,2,N
F,22,4,F,7,1.7,N,N,N,N,N,N,N,N,N,N,1,N
F,20,0,S,4,4,N,N,N,N,N,N,Y,Y,N,N,1,N
M,58,3,F,2,3.2,N,Y,N,N,N,N,N,N,N,N,2,N
F,26,3,F,2,7.7,N,N,N,N,N,N,N,N,N,N,2,N
M,45,0,I,3,3.5,N,N,N,Y,N,N,N,Y,N,N,1,N
F,26,2,F,5,4.4,Y,N,N,N,N,Y,Y,N,N,N,2,N
M,56,6,F,9,1.5,Y,N,N,N,N,N,N,N,N,N,1,N
M,27,5,F,3,4.5,N,N,N,N,N,N,N,N,N,N,0,N
M,24,0,R,8,5.6,N,N,N,N,N,N,N,N,N,N,3,N
F,18,0,S,2,6.4,N,N,N,N,N,N,N,N,N,N,2,N
M,47,0,I,1,3,Y,N,N,N,N,N,N,N,N,N,1,N
F,43,4,F,5,2.4,N,N,N,N,N,N,N,N,N,N,1,N
F,32,2,F,6,3.3,N,N,N,N,N,N,N,N,N,N,1,N
F,24,4,F,4,1.4,N,N,N,N,N,N,N,N,N,N,1,N
M,54,5,F,6,0.9,N,N,N,N,N,N,N,N,N,N,2,N
M,61,3,F,4,1.4,N,Y,N,N,N,N,N,N,N,N,3,N
F,29,4,F,7,2.2,N,N,N,N,N,N,N,N,N,N,2,N
M,31,4,F,3,1.5,Y,Y,N,N,N,N,N,N,N,N,2,N
F,76,0,I,1,5,Y,N,N,N,N,N,N,N,N,N,2,N
F,25,4,F,1,7,N,N,N,N,N,N,N,N,N,N,3,N
F,21,5,F,3,10.8,N,N,N,N,N,N,N,N,N,N,1,N
F,43,4,F,7,6.1,N,N,N,N,N,N,N,N,N,N,2,N
M,49,4,F,3,5.9,N,N,N,N,N,N,N,N,N,N,1,N
F,30,3,F,5,2.3,N,N,N,N,N,N,N,N,N,N,1,N
M,23,2,F,3,1.6,N,N,N,N,N,N,N,N,N,N,3,N
M,27,2,F,3,3.1,Y,N,N,N,N,Y,N,N,N,N,2,N
M,61,4,F,6,1.8,N,N,N,N,N,N,N,N,N,N,4,N
F,46,4,F,6,2.2,N,N,N,N,N,N,N,N,N,N,0,N
F,27,4,F,3,1.7,N,N,N,N,N,N,N,N,N,N,2,N
F,30,4,F,6,2.1,N,N,N,N,N,Y,N,N,N,N,1,N
M,20,0,R,5,8.7,N,N,N,N,N,N,N,N,N,N,0,N
F,28,3,F,4,9.7,N,N,N,N,N,N,N,N,N,N,1,N
F,18,4,F,1,2,Y,Y,N,N,N,N,N,N,N,N,1,N
M,27,0,I,2,5.7,N,N,N,N,N,N,N,N,N,N,2,N
F,18,3,F,5,2.4,N,Y,N,N,N,N,Y,N,N,N,1,N
M,21,3,F,4,5.2,N,N,N,N,N,N,N,N,N,N,2,N
M,19,0,R,8,4.3,N,N,N,N,N,N,N,N,N,N,1,N
M,37,3,F,4,2.2,N,Y,N,N,N,N,Y,N,N,N,1,N
M,42,3,F,5,1.5,N,N,N,N,N,N,N,N,N,N,2,N
F,42,3,F,2,9.7,N,Y,N,N,N,N,N,N,N,N,0,N
F,56,3,F,4,3.9,Y,Y,N,N,N,N,N,N,Y,N,2,N
M,63,2,F,7,2.9,Y,N,N,N,N,Y,N,N,N,N,2,N
M,27,5,F,1,2,N,Y,N,N,N,N,N,N,N,N,0,N
F,31,3,F,6,7.6,N,Y,N,N,N,N,Y,N,N,N,3,N
M,47,1,F,6,0.8,N,N,N,N,N,N,N,N,N,N,2,N
M,47,4,F,3,2.8,N,N,N,N,N,N,N,Y,N,N,4,N
F,25,5,F,3,11.4,N,Y,N,N,N,N,N,N,N,N,1,N
F,42,5,F,5,4.4,N,N,Y,N,N,N,N,N,N,N,3,N
F,22,1,F,2,2.5,Y,N,N,N,N,N,N,N,N,N,3,N
F,20,0,S,3,4.8,Y,N,N,N,N,N,N,N,N,N,3,N
F,23,2,F,3,1.4,Y,Y,N,N,N,Y,Y,N,N,N,3,N
F,27,5,F,5,1.6,N,N,N,N,N,Y,N,N,N,N,2,N
F,21,0,S,2,4.4,Y,Y,N,N,N,N,Y,N,N,N,2,N
F,38,5,F,2,2.4,Y,N,N,N,N,Y,N,N,N,N,3,N
M,21,0,R,4,6.1,N,N,N,N,N,N,N,N,N,N,3,N
M,32,1,F,4,5.7,N,Y,N,N,N,N,Y,N,N,N,3,N
F,35,3,F,3,7.6,N,N,N,N,N,Y,N,N,Y,N,2,N
M,41,1,F,9,2.3,N,Y,N,N,Y,N,Y,N,N,N,4,N
F,18,3,F,2,12.1,N,N,N,N,N,N,N,N,N,N,1,N
M,21,0,S,3,11.2,Y,N,N,N,N,N,N,N,N,N,2,N
F,23,0,S,1,10,N,Y,N,N,N,N,N,N,N,N,2,N
F,28,6,F,2,3.1,Y,Y,N,Y,N,N,N,Y,N,N,0,N
F,18,0,I,1,4,N,N,N,N,N,N,N,N,N,N,4,N
F,20,0,S,1,5,N,N,N,N,N,N,N,N,N,N,2,N
M,40,3,F,2,2.2,N,Y,N,N,N,N,Y,N,N,N,3,N
M,23,2,F,1,6,N,Y,N,N,N,N,Y,N,N,N,0,N
M,52,0,I,3,2.2,N,N,N,N,N,N,N,N,N,N,3,N
M,58,2,F,7,2.5,N,N,N,N,N,N,N,N,N,N,2,N
F,52,3,F,2,1.1,N,N,N,N,N,N,N,N,N,N,2,N
M,57,0,I,2,6.2,N,N,N,N,N,N,N,N,N,N,1,N
M,46,5,F,1,3,N,N,N,Y,N,N,N,N,N,N,0,N
M,23,1,F,5,2.3,N,N,N,N,N,N,N,N,N,N,1,N
F,44,3,F,4,2.4,N,N,N,N,N,N,N,N,N,N,1,N
F,23,4,F,5,2,N,Y,N,N,N,N,N,N,N,N,1,N
M,56,2,F,4,4.8,N,Y,Y,N,N,N,N,N,N,N,1,N
M,51,5,F,7,0.9,Y,N,N,N,N,Y,N,N,N,N,0,N
F,34,2,F,3,3.4,N,N,N,N,N,Y,N,N,N,N,2,N
M,19,0,R,6,6.3,Y,Y,N,Y,N,N,N,N,N,N,2,N
F,45,4,F,2,1.6,N,Y,Y,N,N,N,Y,N,N,N,2,N
M,39,4,F,3,10.1,N,N,N,N,N,N,N,N,N,N,0,N
M,18,0,I,1,4,Y,Y,N,N,N,Y,N,N,N,N,1,N
M,20,0,R,4,10.3,Y,Y,N,N,N,Y,Y,N,N,N,0,N
F,19,0,S,3,6.2,N,N,N,N,N,N,N,N,N,N,2,N
F,34,4,F,3,8.3,N,Y,N,Y,N,N,N,N,N,N,1,N
M,18,2,F,4,2.2,N,N,N,N,N,N,N,N,N,N,3,N
F,35,2,F,2,2.4,N,N,N,N,N,N,N,N,N,N,2,N
F,27,3,F,1,7,N,N,N,N,N,N,N,N,N,N,2,N
F,32,1,F,4,5.3,N,Y,N,N,N,N,N,N,N,N,0,N
M,48,2,F,8,3.7,N,N,N,N,N,N,N,N,N,N,0,N
M,49,3,F,8,0.9,Y,Y,N,N,N,N,N,N,N,N,2,N
M,39,3,F,1,7,N,N,N,N,N,N,N,N,N,N,3,N
F,24,3,F,2,3.8,N,N,N,N,Y,N,N,N,N,N,1,N
F,22,0,R,10,4.9,Y,N,N,N,N,Y,Y,Y,Y,N,1,N
F,18,1,F,5,4.9,N,Y,Y,N,N,N,N,Y,N,N,1,N
F,48,0,I,3,3.8,N,N,N,N,N,N,N,N,N,N,0,N
M,65,4,F,5,0.8,N,Y,N,N,N,N,N,N,N,N,1,N
F,57,2,F,3,0.8,N,N,N,N,N,N,N,N,N,N,1,N
M,23,0,R,5,4,N,Y,N,N,N,N,N,N,N,N,1,N
M,38,1,F,3,15.5,N,N,N,N,N,N,N,N,N,N,2,N
M,54,0,I,1,4,Y,Y,N,Y,N,N,Y,N,N,N,2,N
F,49,6,F,5,3.7,Y,N,N,Y,N,Y,N,N,N,N,0,N
M,41,4,F,4,3,N,Y,N,N,N,N,N,N,N,N,1,N
M,24,0,R,6,4,N,N,N,N,N,N,N,N,N,N,2,N
F,27,1,F,2,1.5,Y,N,N,N,N,Y,N,N,Y,N,2,N
M,20,0,S,3,7.1,N,N,N,N,N,N,N,N,N,N,2,N
F,38,4,F,2,12.8,N,N,N,N,N,N,N,N,N,N,3,N
F,35,4,F,3,9.1,N,N,N,N,N,N,N,N,N,N,1,N
M,49,2,F,3,4.7,N,N,N,N,N,N,N,N,N,N,1,N
M,53,0,I,1,3,N,N,N,N,N,N,N,N,Y,N,0,N
F,31,3,F,2,9.2,N,Y,Y,Y,N,N,N,N,N,N,1,N
F,19,0,R,4,8.9,N,Y,N,N,N,N,N,N,N,N,2,N
F,38,4,F,1,1,N,N,N,N,N,N,N,N,N,N,2,N
M,21,5,F,4,2.2,Y,Y,N,N,N,N,N,N,N,N,1,N
F,21,4,F,4,1.9,Y,Y,N,N,N,N,N,N,N,N,1,N
F,35,5,F,2,1.6,N,N,N,N,N,N,Y,N,N,N,1,N
F,31,1,F,1,8,N,N,N,N,N,N,Y,N,N,N,2,N
F,18,0,R,5,11.1,Y,Y,N,N,N,N,N,Y,N,N,0,N
M,29,1,F,4,8.5,N,N,N,N,N,N,N,N,Y,N,2,N
F,28,0,I,1,3,N,N,N,N,N,N,N,N,N,N,3,N
M,26,3,F,2,2,Y,N,N,N,N,N,N,N,N,N,1,N
M,20,0,S,3,6,N,N,N,N,N,N,N,N,N,N,1,N
M,25,6,F,2,11.5,N,Y,N,N,N,N,N,N,N,N,3,N
M,37,2,F,6,5.3,N,N,N,N,N,N,N,N,N,N,0,N
M,18,1,F,4,3.8,N,N,N,N,N,N,N,N,N,N,1,N
M,29,3,F,7,3.3,Y,N,N,N,N,Y,N,N,N,N,1,N
F,43,4,F,5,2,Y,N,N,N,N,N,N,N,N,N,1,N
M,23,2,F,4,3.3,Y,Y,N,N,N,N,N,N,N,N,0,N
M,41,1,F,5,3.9,N,N,N,N,N,N,N,N,N,N,1,N
M,38,2,F,6,1.5,N,N,N,N,N,N,N,Y,Y,N,3,N
M,25,3,F,4,2.9,N,N,N,N,N,N,N,N,N,N,2,N
M,48,3,F,6,10.2,Y,N,N,N,N,N,N,N,N,N,0,N
F,23,3,F,6,5.6,N,N,N,N,N,N,N,N,N,N,0,N
M,26,6,F,4,4.4,Y,N,N,N,N,N,N,N,N,N,1,N
M,30,2,F,3,6,N,Y,N,N,N,N,N,N,N,N,1,N
F,21,2,F,3,5.4,N,N,N,N,N,N,N,N,N,N,2,N
F,35,3,F,6,2.1,N,Y,N,N,N,N,N,N,N,N,1,N
M,18,3,F,6,2.3,N,N,N,N,N,N,N,N,N,N,3,N
M,25,3,F,2,2.4,N,Y,N,N,N,N,N,Y,N,N,2,N
M,48,1,F,2,7.6,N,N,N,N,N,N,N,N,N,N,1,N
M,23,4,F,1,4,N,N,N,N,N,N,N,N,N,N,2,N
M,35,1,F,3,1.5,N,N,N,N,N,N,N,N,N,N,1,N
F,54,3,F,1,5,N,N,N,N,N,N,N,N,N,N,1,N
F,38,1,F,4,1.2,N,Y,N,N,N,N,N,N,N,N,2,N
F,30,2,F,1,7,N,N,N,N,N,N,N,N,N,N,1,N
F,43,2,F,3,4.6,Y,N,N,N,N,N,N,N,N,N,1,N
F,34,2,F,5,4.9,N,Y,N,N,N,N,Y,N,N,N,0,N
M,34,1,F,4,2.1,N,N,N,N,N,N,N,N,N,N,3,N
M,51,3,F,9,1.1,N,N,N,N,N,N,N,N,N,N,3,N
M,21,0,S,3,7.1,Y,N,N,N,N,N,N,N,N,N,1,N
M,28,2,F,3,3.1,N,N,N,N,N,N,N,N,N,N,2,N
F,51,3,F,1,1,N,N,N,N,N,N,N,N,N,N,1,N
M,32,2,F,6,2.3,N,Y,N,N,N,N,N,N,N,N,2,N
M,18,3,F,3,2,N,N,N,N,N,N,N,N,N,N,3,N
F,25,2,F,4,7.1,N,N,Y,N,N,N,N,N,N,N,4,N
F,20,0,R,7,4.8,N,N,N,N,N,N,N,N,N,N,2,N
F,19,0,S,1,5,Y,Y,N,N,N,N,Y,N,N,N,2,N
M,38,3,F,5,2.1,N,N,N,N,N,N,N,N,N,N,1,N
M,63,3,F,2,2.9,N,N,N,N,N,N,N,N,N,N,3,N
M,38,1,F,4,1,N,N,N,N,N,N,N,N,N,N,1,N
F,27,1,F,6,6.3,Y,N,N,Y,N,N,N,N,N,N,3,N
F,36,1,F,4,9.3,Y,Y,N,N,N,Y,N,N,N,N,1,N
M,71,1,F,6,4.3,Y,N,N,N,N,N,N,N,N,N,0,N
F,29,2,F,2,2,N,Y,N,N,N,N,N,N,N,N,1,N
F,23,0,R,6,7.8,Y,Y,N,N,N,N,N,N,N,N,1,N
F,48,0,I,1,4,N,N,N,N,N,N,N,N,N,N,2,N
F,18,2,F,4,2.9,Y,N,N,N,N,N,N,N,N,N,3,N
M,21,0,R,5,9.4,N,N,N,N,N,N,N,N,N,N,0,N
F,43,4,F,3,2.1,N,N,N,N,N,Y,N,N,N,N,0,N
M,23,0,S,2,5.6,Y,Y,N,N,N,Y,Y,Y,Y,N,1,N
M,18,4,F,4,4.8,Y,Y,N,N,N,Y,Y,N,N,N,1,N
F,59,2,F,3,3.1,N,Y,N,N,N,N,N,N,N,N,1,N
M,22,4,F,2,6.6,N,Y,N,N,N,N,N,N,N,N,0,N
F,18,3,F,3,4,Y,N,N,N,N,N,N,N,N,N,1,N
F,39,3,F,3,5.8,N,N,Y,N,N,Y,N,N,N,N,0,N
F,33,4,F,1,5,Y,N,N,N,N,Y,Y,N,N,N,0,N
M,58,3,F,6,4.7,N,Y,N,N,N,N,Y,N,N,N,1,N
M,50,3,F,6,0.7,Y,Y,N,N,N,Y,Y,N,N,N,3,N
M,31,5,F,1,2,N,N,N,N,N,N,N,N,N,N,3,N
M,20,0,S,4,8.2,N,N,N,N,N,N,N,N,N,N,0,N
F,53,0,I,2,3.9,N,N,N,N,N,N,N,N,N,N,1,N
F,18,1,F,5,2.4,Y,Y,N,N,N,N,N,N,Y,N,2,N
F,37,1,F,1,12,N,N,N,N,N,N,N,N,N,N,0,N
M,72,3,F,4,1.7,N,N,N,Y,N,N,N,N,Y,N,1,N
F,20,0,R,6,5.7,N,N,N,N,N,N,N,N,N,N,3,N
F,71,0,I,1,4,N,N,N,N,N,N,N,N,N,N,3,N
F,49,0,I,1,5,N,N,N,N,N,N,N,N,N,N,2,N
F,34,2,F,1,3,N,N,N,N,N,N,N,N,N,N,0,N
F,25,1,F,4,8.3,Y,Y,N,N,N,N,N,N,N,N,1,N
F,49,0,I,2,1.4,N,Y,N,N,N,N,N,Y,N,N,2,N
M,21,0,R,5,8.7,N,N,N,N,N,N,N,N,N,N,0,N
F,22,0,S,3,7.7,Y,N,N,N,N,N,N,N,N,N,0,N
F,18,6,F,6,2,Y,Y,Y,N,N,Y,Y,N,N,N,3,N
F,29,2,F,5,8,N,Y,N,N,N,N,N,N,N,N,0,N
F,18,0,R,7,7.8,Y,Y,N,N,N,N,N,N,N,N,3,N
M,64,1,F,5,2.5,Y,Y,N,N,N,Y,Y,N,N,N,1,N
F,18,4,F,3,6.2,N,Y,N,N,N,N,N,N,N,N,2,N
M,38,0,I,1,5,N,Y,N,N,N,Y,Y,N,N,N,1,N
F,52,4,F,4,9.6,Y,N,N,N,N,N,N,N,Y,N,4,N
F,32,3,F,2,2.6,N,N,N,N,N,N,N,Y,N,N,2,N
M,42,3,F,6,2.2,N,N,N,N,N,N,N,N,Y,N,1,N
M,63,2,F,7,4.7,N,N,N,N,N,N,N,N,N,N,3,N
F,45,5,F,5,1.8,N,Y,N,Y,N,N,N,N,N,N,1,N
F,20,1,F,7,2.2,N,Y,N,N,N,N,N,N,N,N,1,N
M,22,2,F,2,1.8,N,N,N,N,N,N,N,N,N,N,3,N
M,18,0,I,1,4,Y,Y,N,N,N,N,N,N,N,N,2,N
F,18,0,R,3,6.5,Y,Y,N,N,N,N,N,N,N,N,2,N
F,43,5,F,3,3.2,N,N,N,N,N,N,N,N,N,N,0,N
M,29,3,F,2,4.7,Y,Y,N,N,N,N,Y,N,N,N,2,N
M,20,0,R,4,8.9,N,N,N,N,N,N,Y,N,N,N,1,N
F,49,4,F,9,4.2,Y,Y,N,N,N,N,N,N,N,N,2,N
F,40,3,F,4,12.8,Y,Y,N,N,N,N,N,N,Y,N,1,N
F,27,3,F,1,3,N,N,N,N,N,N,N,N,N,N,1,N
F,62,5,F,4,2.3,N,Y,N,N,N,N,N,N,N,N,3,N
F,61,1,F,7,0.8,N,Y,N,N,N,N,N,N,Y,N,2,N
F,61,4,F,12,3.9,N,N,N,N,N,N,N,N,N,N,2,N
F,57,1,F,8,1.1,N,Y,N,N,N,N,N,N,N,N,3,N
F,65,4,F,8,10.3,Y,Y,N,N,N,N,N,N,N,N,1,N
M,31,1,F,4,2,N,N,N,N,N,N,N,N,N,N,2,N
