id,dur,proto,service,state,spkts,dpkts,sbytes,dbytes,rate,sttl,dttl,sload,dload,sloss,dloss,sinpkt,dinpkt,sjit,djit,swin,stcpb,dtcpb,dwin,tcprtt,synack,ackdat,smean,dmean,trans_depth,response_body_len,ct_srv_src,ct_state_ttl,ct_dst_ltm,ct_src_dport_ltm,ct_dst_sport_ltm,ct_dst_src_ltm,is_ftp_login,ct_ftp_cmd,ct_flw_http_mthd,ct_src_ltm,ct_srv_dst,is_sm_ips_ports,label
36,6.00E-06,udp,dns,INT,2,0,114,0,166666.6608,254,0,76000000,0,0,0,0.006,0,0,0,0,0,0,0,0,0,0,57,0,0,0,51,2,42,42,24,51,0,0,0,42,51,0,1
37,3.00E-06,udp,dns,INT,2,0,114,0,333333.3215,254,0,152000000,0,0,0,0.003,0,0,0,0,0,0,0,0,0,0,57,0,0,0,7,2,4,3,3,4,0,0,0,4,7,0,1
38,0.765912,tcp,-,FIN,14,8,6830,354,27.418294,254,252,66253.03906,3237.969971,4,1,53.41254,103.568289,3934.742718,153.1905,255,105762264,1056602516,255,0.116734,0.040926,0.075808,488,44,0,0,2,1,1,1,1,2,0,0,0,1,2,0,0
39,0.991163,tcp,-,FIN,10,8,534,354,17.151568,254,252,3882.307861,2502.111084,2,1,110.118,129.57543,5882.696877,203.781359,255,2971239159,2949737735,255,0.164628,0.084132,0.080496,53,44,0,0,5,1,1,2,1,2,0,0,0,3,2,0,0
40,0.9313,tcp,-,FIN,10,8,564,354,18.254054,254,252,4363.79248,2662.944336,2,1,99.020556,124.130711,6544.297729,182.570391,255,1387050553,1613956339,255,0.127877,0.062378,0.065499,56,44,0,0,1,1,1,1,1,1,0,0,0,1,1,0,1
41,0.944361,tcp,-,FIN,10,8,534,354,18.001591,254,252,4074.713135,2626.114502,2,1,104.929,113.35057,5149.368088,211.396062,255,2386342201,4159529585,255,0.214749,0.150103,0.064646,53,44,0,0,2,1,1,1,1,2,0,0,0,19,2,0,0
42,8.00E-06,udp,dns,INT,2,0,114,0,125000.0003,254,0,57000000,0,0,0,0.008,0,0,0,0,0,0,0,0,0,0,57,0,0,0,22,2,18,18,18,22,0,0,0,18,22,0,1
43,0.021371,tcp,-,FIN,16,18,1540,1644,1544.148648,31,29,540545.625,581348.5625,4,4,1.4016,1.230118,88.034174,2.629509,255,838166136,2992976843,255,0.000579,0.000455,0.000124,96,91,0,0,6,0,8,6,1,6,0,0,0,9,8,0,0
44,9.00E-06,udp,dns,INT,2,0,114,0,111111.1072,254,0,50666664,0,0,0,0.009,0,0,0,0,0,0,0,0,0,0,57,0,0,0,22,2,5,5,5,22,0,0,0,5,22,0,1
45,5.00E-06,unas,-,INT,2,0,200,0,200000.0051,254,0,160000000,0,0,0,0.005,0,0,0,0,0,0,0,0,0,0,100,0,0,0,5,2,3,3,3,5,0,0,0,3,5,0,1
46,2.221151,tcp,-,FIN,10,8,2530,354,7.653689,254,252,8201.15332,1116.538208,2,1,237.185778,280.662719,13644.16619,511.750281,255,2888910698,2065164059,255,0.399826,0.256507,0.143319,253,44,0,0,4,1,1,1,1,1,0,0,0,1,2,0,0
47,0.009012,tcp,-,FIN,18,18,4232,2456,3883.710736,31,29,3548158.25,2059476.375,7,7,0.507353,0.495765,26.829458,0.713246,255,2111863024,2115100006,255,0.000744,0.00058,0.000164,235,136,0,0,9,0,3,1,1,3,0,0,0,4,8,0,0
48,0.490552,tcp,-,FIN,10,8,510,354,34.654837,254,252,7485.444824,5055.529297,2,1,52.771222,63.509285,3550.75141,122.657797,255,894078972,2646320586,255,0.125869,0.045984,0.079885,51,44,0,0,10,1,3,3,1,9,0,0,0,3,9,0,0
49,2.00E-06,udp,dns,INT,2,0,114,0,500000.0013,254,0,228000000,0,0,0,0.002,0,0,0,0,0,0,0,0,0,0,57,0,0,0,10,2,4,4,4,4,0,0,0,6,10,0,1
50,1.733803,tcp,-,FIN,14,8,8834,354,12.112102,254,252,37849.74219,1430.381592,4,1,133.343,235.105281,10107.14135,349.757375,255,143363529,2917863385,255,0.158553,0.088064,0.070489,631,44,0,0,1,1,1,1,1,1,0,0,0,1,1,0,0
51,0.16588,tcp,http,FIN,10,6,876,268,90.426817,254,252,38051.60547,10802.99023,2,1,17.365333,31.603199,1040.207592,54.954578,255,2909784744,2552955229,255,0.051196,0.007858,0.043338,88,45,1,0,1,1,1,1,1,1,0,0,1,1,1,0,1
52,2.156393,tcp,http,FIN,108,24,135855,1042,60.749593,254,252,499344.9688,3706.188965,51,1,19.512224,89.454172,1918.404694,112.485461,255,3036857964,4271957155,255,0.171334,0.098937,0.072397,1258,43,0,0,3,1,1,1,1,1,0,0,0,1,1,0,1
53,0.063995,tcp,-,FIN,22,14,1470,1728,546.917696,31,29,175513.7031,200640.6563,5,4,3.047381,4.866154,365.334366,14.147175,255,3203100528,3203409050,255,0.00075,0.000598,0.000152,67,123,0,0,13,0,1,1,1,1,0,0,0,4,2,0,0
54,1.00E-05,udp,-,INT,2,0,104,0,100000.0025,254,0,41600000,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,52,0,0,0,2,2,1,1,1,2,0,0,0,1,2,0,0
55,1.00E-05,udp,-,INT,2,0,1064,0,100000.0025,254,0,425600000,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,532,0,0,0,2,2,1,1,1,2,0,0,0,1,2,0,0
56,0.045976,tcp,-,FIN,48,50,2958,32368,2109.796334,31,29,504089.0625,5519575,7,18,0.971,0.927327,69.493206,66.345946,255,1641788811,1642088046,255,0.000678,0.000535,0.000143,62,647,0,0,3,0,5,1,1,1,0,0,0,2,2,0,0
57,9.00E-06,udp,-,INT,2,0,78,0,111111.1072,254,0,34666664,0,0,0,0.009,0,0,0,0,0,0,0,0,0,0,39,0,0,0,4,2,2,2,1,4,0,0,0,2,4,0,0
58,5.00E-06,udp,dns,INT,2,0,114,0,200000.0051,254,0,91200000,0,0,0,0.005,0,0,0,0,0,0,0,0,0,0,57,0,0,0,7,2,4,4,4,4,0,0,0,4,7,0,1
59,1.248399,tcp,-,FIN,12,8,1490,752,15.219493,254,252,8753.611328,4216.600586,3,2,110.339818,152.610281,6116.470038,221.928781,255,925519287,4100962193,255,0.275706,0.180124,0.095582,124,94,0,0,4,1,1,1,1,2,0,0,0,1,2,0,0
60,0.924154,tcp,-,FIN,10,8,534,354,18.395203,254,252,4163.808105,2683.5354,2,1,96.988667,113.032711,5115.68506,225.620531,255,2686625830,563861632,255,0.227837,0.132915,0.094922,53,44,0,0,4,1,1,1,1,4,0,0,0,1,4,0,0
61,9.00E-06,udp,dns,INT,2,0,114,0,111111.1072,254,0,50666664,0,0,0,0.009,0,0,0,0,0,0,0,0,0,0,57,0,0,0,43,2,16,16,9,43,0,0,0,16,43,0,1
62,0.971631,tcp,-,FIN,14,14,940,764,27.788327,254,252,7187.914062,5845.84082,4,4,74.740844,72.219156,4386.564733,118.66568,255,3347494071,581524550,255,0.078743,0.032051,0.046692,67,55,0,0,4,1,1,1,1,4,0,0,0,1,4,0,0
63,9.00E-06,udp,-,INT,2,0,104,0,111111.1072,254,0,46222220,0,0,0,0.009,0,0,0,0,0,0,0,0,0,0,52,0,0,0,6,2,1,1,1,3,0,0,0,2,4,0,0
64,5.00E-06,udp,-,INT,2,0,168,0,200000.0051,254,0,134400000,0,0,0,0.005,0,0,0,0,0,0,0,0,0,0,84,0,0,0,1,2,1,1,1,1,0,0,0,1,1,0,1
65,2.00E-06,unas,-,INT,2,0,200,0,500000.0013,254,0,400000000,0,0,0,0.002,0,0,0,0,0,0,0,0,0,0,100,0,0,0,15,2,4,2,2,3,0,0,0,8,15,0,1
66,1.611974,tcp,http,FIN,10,10,812,980,11.786791,62,252,3627.850098,4377.241699,2,2,179.108222,169.750219,10607.29536,347.911656,255,846387138,2584368247,255,0.141547,0.07288,0.068667,81,98,1,34,1,1,1,1,1,1,0,0,1,2,1,0,1
67,9.00E-06,udp,dns,INT,2,0,114,0,111111.1072,254,0,50666664,0,0,0,0.009,0,0,0,0,0,0,0,0,0,0,57,0,0,0,36,2,35,35,15,36,0,0,0,35,36,0,1
68,1.00E-06,udp,-,INT,2,0,104,0,1000000.003,254,0,416000000,0,0,0,0.001,0,0,0,0,0,0,0,0,0,0,52,0,0,0,5,2,1,1,1,1,0,0,0,1,4,0,1
69,1.10E-05,micp,-,INT,2,0,200,0,90909.0902,254,0,72727272,0,0,0,0.011,0,0,0,0,0,0,0,0,0,0,100,0,0,0,8,2,2,2,2,2,0,0,0,9,9,0,1
70,0.083925,tcp,-,FIN,22,14,1470,1728,417.039016,31,29,133833.7813,152993.7344,5,4,3.996429,6.399769,400.437687,14.967199,255,740609001,740925153,255,0.000746,0.000591,0.000155,67,123,0,0,8,0,10,1,1,1,0,0,0,2,12,0,0
71,0.005684,tcp,-,FIN,18,18,4256,2456,6157.635496,31,29,5657987.5,3265306.25,7,7,0.316059,0.299529,16.373001,0.495541,255,4275151088,4282350034,255,0.001443,0.000588,0.000855,236,136,0,0,11,0,3,1,1,1,0,0,0,3,6,0,0
72,0.072465,udp,-,CON,4,4,512,304,96.598354,31,29,42392.87891,25170.77148,0,0,19.006,19.781,26.863693,27.96183,0,0,0,0,0,0,0,128,76,0,0,12,0,3,1,1,3,0,0,0,10,10,0,0
73,0.001734,udp,-,CON,4,4,520,304,4036.908768,31,29,1799307.875,1051903.125,0,0,0.453667,0.213333,0.635924,0.293927,0,0,0,0,0,0,0,130,76,0,0,11,0,11,1,1,4,0,0,0,5,13,0,0
74,9.00E-06,tcp,-,REQ,2,0,90,0,111111.1072,254,0,40000000,0,1,0,0.009,0,0,0,255,0,0,0,0,0,0,45,0,0,0,7,6,2,1,1,4,0,0,0,6,4,0,0
75,0.694163,tcp,-,FIN,10,8,488,354,24.489924,254,252,5070.85498,3572.647705,2,1,68.600333,90.826141,4309.808675,124.414969,255,915982737,3735388821,255,0.107741,0.058378,0.049363,49,44,0,0,7,1,3,1,1,1,0,0,0,1,7,0,1
76,4.00E-06,udp,dns,INT,2,0,114,0,250000.0006,254,0,114000000,0,0,0,0.004,0,0,0,0,0,0,0,0,0,0,57,0,0,0,45,2,41,41,17,45,0,0,0,41,45,0,1
77,0.189788,tcp,http,FIN,10,6,990,268,79.035556,254,252,37557.69531,9442.114258,2,1,19.683889,36.326801,1043.168553,61.757609,255,3397390711,1736746944,255,0.054264,0.008143,0.046121,99,45,0,0,1,1,1,1,1,1,0,0,0,1,1,0,1
78,4.00E-06,udp,dns,INT,2,0,114,0,250000.0006,254,0,114000000,0,0,0,0.004,0,0,0,0,0,0,0,0,0,0,57,0,0,0,58,2,43,43,25,58,0,0,0,43,58,0,1
79,6.00E-06,udp,dns,INT,2,0,114,0,166666.6608,254,0,76000000,0,0,0,0.006,0,0,0,0,0,0,0,0,0,0,57,0,0,0,13,2,7,7,3,7,0,0,0,7,13,0,1
80,0.043987,tcp,-,FIN,64,66,3806,52014,2932.684757,31,29,681474.125,9316571,7,26,0.692905,0.668246,51.736935,48.874574,255,3993387548,4035685296,255,0.000702,0.000545,0.000157,59,788,0,0,10,0,7,1,1,3,0,0,0,3,9,0,0
81,9.00E-06,tcp,-,REQ,2,0,90,0,111111.1072,254,0,40000000,0,1,0,0.009,0,0,0,255,0,0,0,0,0,0,45,0,0,0,4,6,2,1,1,4,0,0,0,3,4,0,0
82,0.623736,tcp,http,FIN,10,8,812,1180,27.25512,62,252,9375.760742,13249.19434,2,2,69.304,75.42643,3456.108669,140.0845,255,2015174967,687763277,255,0.195269,0.094701,0.100568,81,148,1,187,4,1,1,1,1,3,0,0,1,1,3,0,0
83,0.541514,tcp,-,FIN,10,6,534,268,27.700116,254,252,7106.00293,3309.240479,2,1,60.063222,88.349797,3028.187255,135.207578,255,611707236,3149636427,255,0.19768,0.099762,0.097918,53,45,0,0,4,1,4,1,1,13,0,0,0,4,4,0,0
84,3.60E-05,udp,dns,INT,2,0,114,0,27777.7768,254,0,12666666,0,0,0,0.036,0,0,0,0,0,0,0,0,0,0,57,0,0,0,37,2,38,37,22,37,0,0,0,37,37,0,1
85,3.00E-06,udp,dns,INT,2,0,114,0,333333.3215,254,0,152000000,0,0,0,0.003,0,0,0,0,0,0,0,0,0,0,57,0,0,0,39,2,13,13,9,39,0,0,0,13,39,0,1
86,11.389784,tcp,http,FIN,358,746,19098,1087890,96.84117,31,29,13376.90039,763092.25,2,370,31.903232,15.287581,4601.379644,3164.434686,255,2643025926,513690110,255,0.000664,0.000531,0.000133,53,1458,1,524288,2,0,2,1,1,1,0,0,1,1,1,0,0
87,1.90E-05,unas,-,INT,2,0,200,0,125000.0003,254,0,100000000,0,0,0,0.008,0,0,0,0,0,0,0,0,0,0,100,0,0,0,10,2,4,4,4,4,0,0,0,11,10,0,1
88,9.00E-06,udp,dns,INT,2,0,114,0,111111.1072,254,0,50666664,0,0,0,0.009,0,0,0,0,0,0,0,0,0,0,57,0,0,0,30,2,25,25,25,30,0,0,0,25,30,0,1
89,0.871442,tcp,-,FIN,12,6,4658,268,19.507896,254,252,39199.39453,2056.361816,3,1,71.040548,154.940797,4093.669676,205.566609,255,1454595282,3881189222,255,0.197528,0.096737,0.100791,388,45,0,0,4,1,1,1,1,4,0,0,0,2,5,0,0
90,0.636154,tcp,-,FIN,10,8,564,354,26.723089,254,252,6388.390137,3898.427246,2,1,70.683778,87.891859,5421.56689,138.871797,255,3080140032,3049588221,255,0.056627,0.009103,0.047524,56,44,0,0,2,1,1,1,1,1,0,0,0,1,1,0,1
91,1.131451,tcp,ftp,FIN,22,22,1170,1610,38.004297,62,252,7897.823242,10867.46094,7,9,53.878619,53.18538,3048.858709,4031.452831,255,2938755331,449915767,255,0.04091,0.007339,0.033571,53,73,0,0,1,1,2,1,1,2,0,0,0,2,1,0,1
92,9.00E-06,netblt,-,INT,2,0,200,0,111111.1072,254,0,88888888,0,0,0,0.009,0,0,0,0,0,0,0,0,0,0,100,0,0,0,4,2,3,2,2,4,0,0,0,3,4,0,1
93,0.583623,tcp,-,FIN,8,8,364,1620,25.701523,62,252,4372.686035,19437.20508,1,2,83.374717,77.450289,5406.95338,150.103734,255,1094770774,1019889110,255,0.097713,0.04086,0.056853,46,203,0,0,3,1,3,1,1,2,0,0,0,2,5,0,1
94,0.556397,tcp,-,FIN,10,6,534,268,26.959167,254,252,6915.924805,3220.72168,2,1,60.236889,99.001,3122.224898,153.587828,255,4161526652,150128621,255,0.099036,0.061385,0.037651,53,45,0,0,4,1,1,1,1,2,0,0,0,1,2,0,0
95,3.00E-06,udp,dns,INT,2,0,114,0,333333.3215,254,0,152000000,0,0,0,0.003,0,0,0,0,0,0,0,0,0,0,57,0,0,0,15,2,8,8,8,15,0,0,0,10,15,0,1
96,2.083845,tcp,-,FIN,10,6,738,268,7.198232,254,252,2552.973145,859.948853,2,1,224.331667,387.163,15436.1637,717.13175,255,2390314387,3864608509,255,0.257977,0.148021,0.109956,74,45,0,0,3,1,1,1,1,1,0,0,0,2,1,0,0
97,0.232158,tcp,http,FIN,10,6,1526,268,64.611169,254,252,47347.0625,7718.880859,2,1,24.713667,34.294199,1293.793161,49.509648,255,3598263047,1000318758,255,0.089471,0.060681,0.02879,153,45,1,0,10,1,3,3,1,3,0,0,1,3,10,0,1
98,1.10E-05,udp,dns,INT,2,0,114,0,90909.0902,254,0,41454544,0,0,0,0.011,0,0,0,0,0,0,0,0,0,0,57,0,0,0,17,2,3,3,3,3,0,0,0,3,17,0,1
99,2.00E-06,unas,-,INT,2,0,200,0,500000.0013,254,0,400000000,0,0,0,0.002,0,0,0,0,0,0,0,0,0,0,100,0,0,0,15,2,4,2,2,3,0,0,0,8,15,0,1
100,0.8701,tcp,pop3,FIN,22,22,1056,9846,49.419606,62,252,9267.900391,86417.64844,7,9,41.433333,40.770998,2037.512356,2281.184434,255,2584070993,3049281525,255,0.061893,0.013221,0.048672,48,448,0,0,1,1,1,1,1,1,0,0,0,1,1,0,1
101,0.693745,tcp,http,FIN,10,12,816,3538,30.270488,62,252,8475.736328,37408.55859,2,3,77.082778,50.894089,4740.913457,3984.974827,255,526522591,58768488,255,0.145025,0.062464,0.082561,82,295,1,1279,1,1,1,1,1,1,0,0,1,1,1,0,1
102,0.001098,udp,dns,CON,2,2,146,178,2732.24049,31,29,531876.125,648451.75,0,0,0.01,0.006,0,0,0,0,0,0,0,0,0,73,89,0,0,4,0,6,3,1,5,0,0,0,6,4,0,0
103,1.102714,tcp,-,FIN,10,8,588,354,15.41651,254,252,3845.058838,2248.996582,2,1,115.805333,147.085,6771.59747,286.668469,255,2212439036,3621545192,255,0.134587,0.073111,0.061476,59,44,0,0,3,1,1,1,1,3,0,0,0,1,3,0,0
104,0.001403,udp,-,CON,2,2,284,152,2138.275166,31,29,809693.5,433357.0938,0,0,0.002,0.004,0,0,0,0,0,0,0,0,0,142,76,0,0,6,0,4,1,1,2,0,0,0,5,6,0,0
105,0.832529,tcp,-,FIN,16,12,912,694,32.431302,254,252,8215.929688,6121.10791,5,4,54.304201,68.651633,2965.692583,107.964359,255,4264033753,3764058074,255,0.140442,0.077359,0.063083,57,58,0,0,5,1,1,1,1,5,0,0,0,1,5,0,0
106,0.055045,tcp,-,FIN,36,38,2334,16290,1326.187636,31,29,329911.875,2305313.75,7,12,1.563486,1.469324,108.1424,105.297131,255,2414568803,2414922472,255,0.000801,0.000669,0.000132,65,429,0,0,9,0,2,1,1,2,0,0,0,11,3,0,0
107,8.00E-06,udp,dns,INT,2,0,114,0,125000.0003,254,0,57000000,0,0,0,0.008,0,0,0,0,0,0,0,0,0,0,57,0,0,0,40,2,40,40,24,40,0,0,0,41,40,0,1
108,0.004006,tcp,-,CON,6,3,312,4056,1997.004608,31,30,519221.1875,5399900.5,0,1,0.8012,0.5,1.007988,0.494,255,4118775259,1969450111,255,0,0,0,52,1352,0,0,11,0,2,1,1,1,0,0,0,6,5,0,0
109,1.485611,tcp,-,FIN,10,8,564,354,11.443104,254,252,2735.574951,1669.346924,2,1,165.052556,196.258578,10344.33863,302.398,255,41971655,332887258,255,0.16942,0.111796,0.057624,56,44,0,0,5,1,1,1,1,1,0,0,0,4,1,0,1
110,0.001071,udp,dns,CON,2,2,146,178,2801.120432,31,29,545284.75,664799.25,0,0,0.01,0.008,0,0,0,0,0,0,0,0,0,73,89,0,0,2,0,2,2,1,2,0,0,0,6,3,0,0
111,1.937164,tcp,http,FIN,10,10,824,1154,9.808153,62,252,3064.273438,4290.808594,2,2,215.240444,201.153109,13443.50269,318.884344,255,3775178572,3609098104,255,0.185826,0.125991,0.059835,82,115,1,175,4,1,3,3,3,3,0,0,9,3,3,0,0
112,0.73321,tcp,-,FIN,10,6,756,268,20.457985,254,252,7430.340332,2444.047363,2,1,81.467778,116.540203,4230.263825,211.443563,255,610604386,1874263029,255,0.24038,0.132939,0.107441,76,45,0,0,5,1,2,2,1,4,0,0,0,3,4,0,0
113,9.00E-06,unas,-,INT,2,0,200,0,111111.1072,254,0,88888888,0,0,0,0.009,0,0,0,0,0,0,0,0,0,0,100,0,0,0,7,2,2,2,2,7,0,0,0,11,7,0,1
